DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
2004-04-08,9504.0,0.8,9.4,0.8,2.4,3.3
2004-04-09,7344.0,-1.0,9.5,0.75,1.5,0.0
2004-04-10,5789.0,-0.5,9.0,0.73,1.9,0.3
2004-04-11,8813.0,0.1,9.7,0.71,1.3,0.0
2004-04-12,17885.0,-3.1,13.3,0.8,1.5,0.0
2004-04-13,7776.0,3.0,13.2,0.91,1.5,0.0
2004-04-14,20477.0,-2.0,15.2,0.75,1.3,0.0
2004-04-15,19699.0,4.6,18.3,0.81,2.2,0.0
2004-04-16,20477.0,3.0,20.4,0.78,2.1,0.0
2004-04-17,17366.0,8.7,21.0,0.94,3.4,0.0
2004-04-18,11837.0,6.8,14.1,0.93,5.4,0.7
2004-04-19,10627.0,2.9,12.1,0.75,3.4,0.0
2004-04-20,22378.0,0.2,16.1,0.76,1.5,0.0
2004-04-21,14170.0,7.4,18.2,1.19,2.7,0.0
2004-04-22,12355.0,7.3,18.0,1.241,1.5,0.3
2004-04-23,23587.0,1.9,17.1,0.84,1.7,0.0
2004-04-24,15293.0,4.6,16.7,0.946,1.3,0.0
2004-04-25,20822.0,1.1,18.1,0.827,1.8,0.0
2004-04-26,19699.0,2.8,19.8,0.85,1.9,0.0
2004-04-27,19872.0,11.4,21.8,1.03,3.5,0.0
2004-04-28,13133.0,12.4,21.7,1.26,3.4,6.9
2004-04-29,9072.0,12.1,18.2,1.25,3.3,1.6
2004-04-30,19440.0,10.7,24.4,1.28,2.9,1.9
2004-05-01,12269.0,10.2,20.0,1.44,2.6,0.4
2004-05-02,7862.0,9.8,15.0,1.27,2.6,0.0
2004-05-03,17539.0,7.8,19.0,1.13,2.1,3.1
2004-05-04,13824.0,6.6,13.0,0.96,4.1,0.7
2004-05-05,19872.0,5.7,15.0,0.87,3.4,0.0
2004-05-06,18662.0,3.3,15.7,0.94,1.5,0.0
2004-05-07,3456.0,8.1,9.8,1.09,3.7,19.8
2004-05-08,8640.0,8.3,12.9,1.03,2.3,0.0
2004-05-09,16330.0,3.7,16.8,1.08,1.2,0.0
2004-05-10,20304.0,7.3,19.1,1.26,1.6,0.0
2004-05-11,13824.0,7.9,16.5,1.09,2.5,0.0
2004-05-12,18922.0,8.3,14.6,0.92,2.5,0.0
2004-05-13,10454.0,7.0,14.4,1.01,1.8,0.0
2004-05-14,15120.0,6.6,16.7,1.0,1.3,0.0
2004-05-15,19094.0,6.3,20.9,1.16,2.1,0.0
2004-05-16,18058.0,8.2,20.4,1.16,1.5,0.0
2004-05-17,25056.0,5.3,22.3,1.11,1.1,0.0
2004-05-18,21859.0,6.4,21.4,1.13,1.3,0.0
2004-05-19,25402.0,6.5,22.7,1.14,2.9,0.0
2004-05-20,17453.0,5.3,20.3,1.1,2.0,0.0
2004-05-21,17885.0,4.8,16.0,0.85,2.3,0.6
2004-05-22,21168.0,3.1,14.6,0.78,2.4,1.2
2004-05-23,28166.0,4.0,14.7,0.76,2.2,3.9
2004-05-24,18058.0,2.2,17.6,0.89,2.5,0.0
2004-05-25,15466.0,4.5,16.1,0.99,1.5,0.0
2004-05-26,20477.0,3.4,15.3,0.78,1.5,0.0
2004-05-27,14083.0,1.4,15.1,0.88,1.2,0.0
2004-05-28,28253.0,1.0,19.3,0.83,1.3,0.0
2004-05-29,28166.0,3.4,23.1,0.82,2.3,0.0
2004-05-30,14774.0,11.5,23.0,1.25,2.3,7.0
2004-05-31,12269.0,7.8,18.9,1.34,1.3,2.5
2004-06-01,24365.0,5.2,21.9,1.12,1.4,0.0
2004-06-02,8381.0,8.7,17.8,1.43,2.2,5.1
2004-06-03,23242.0,8.5,18.8,1.34,1.8,0.0
2004-06-04,8035.0,10.9,19.0,1.47,3.1,5.4
2004-06-05,8554.0,7.0,15.0,1.26,1.7,0.1
2004-06-06,25661.0,4.9,21.5,1.15,0.9,0.0
2004-06-07,26352.0,10.2,26.6,1.46,1.4,0.0
2004-06-08,26352.0,12.2,30.6,1.58,1.3,0.0
2004-06-09,22550.0,13.5,25.4,1.84,2.4,0.0
2004-06-10,13306.0,12.9,22.9,1.77,2.2,1.1
2004-06-11,22205.0,11.8,21.2,1.4,3.6,0.0
2004-06-12,19267.0,10.3,18.2,1.37,3.1,5.6
2004-06-13,14170.0,6.8,17.2,1.18,1.4,0.3
2004-06-14,20995.0,5.8,23.6,1.45,2.3,0.0
2004-06-15,18317.0,9.0,23.6,1.56,2.3,0.0
2004-06-16,17453.0,8.5,18.8,1.15,1.9,0.0
2004-06-17,10800.0,12.8,19.9,1.43,4.4,0.3
2004-06-18,12182.0,10.8,17.9,1.4,2.7,4.6
2004-06-19,19526.0,7.8,16.0,1.01,2.3,3.6
2004-06-20,22118.0,9.2,17.2,1.0,3.5,1.9
2004-06-21,14602.0,7.8,16.5,1.21,2.6,9.3
2004-06-22,17712.0,6.3,19.4,1.34,2.1,0.0
2004-06-23,13651.0,13.7,20.9,1.56,6.6,8.3
2004-06-24,17712.0,11.3,18.5,1.15,8.1,2.5
2004-06-25,10282.0,7.6,16.6,1.3,3.8,1.3
2004-06-26,21514.0,4.8,21.2,1.18,1.6,0.0
2004-06-27,19008.0,14.1,22.9,1.7,3.2,7.2
2004-06-28,25834.0,10.0,20.5,1.24,3.5,0.0
2004-06-29,19008.0,10.0,21.1,1.34,2.9,0.0
2004-06-30,18403.0,12.6,24.0,1.33,2.7,0.3
2004-07-01,19872.0,10.7,19.3,1.34,4.1,4.0
2004-07-02,18662.0,10.0,17.8,1.36,4.3,3.6
2004-07-03,20995.0,13.1,19.1,1.32,6.1,2.8
2004-07-04,11491.0,12.0,18.4,1.4,3.4,0.3
2004-07-05,20131.0,8.5,21.2,1.32,2.0,3.4
2004-07-06,26957.0,6.5,22.4,1.14,1.3,0.0
2004-07-07,19872.0,11.8,22.4,1.33,4.3,4.9
2004-07-08,12874.0,13.9,21.8,1.59,2.2,6.8
2004-07-09,16157.0,13.2,19.4,1.53,3.6,3.5
2004-07-10,23674.0,10.8,19.0,1.23,3.8,3.6
2004-07-11,13997.0,10.8,18.1,1.35,3.7,2.1
